,platform,code,indicators
69,Mapswipe,-O9VjgrBCB-R5pfIsHQy,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
70,Mapswipe,-OIw_NCdcqsMNj7olNzb,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
71,Mapswipe,-NzZ4PtFG5F_OqC74vdv,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
72,Mapswipe,-OJKwVGAVQfSn6FxxEQ6,"3.8.1,1.4.1,11.2.1"
73,Mapswipe,-Nzhao6qaN3vl-LHoMlu,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
74,HOT-TM,14829,
75,HOT-TM,17938,
76,HOT-TM,14621,6.3.2
77,HOT-TM,15608,11.1.1
78,HOT-TM,17127,"13.1.1,11.5.1,1.5.1,11.5.2,11.5.3"
79,HOT-TM,18204,"13.1.1,11.5.1,1.5.1,11.5.2,11.5.3"
80,HOT-TM,14884,
81,HOT-TM,17074,
82,HOT-TM,17660,
83,HOT-TM,9838,"1.5.1,13.1.1,11.5.1,11.5.2,11.5.3"
84,HOT-TM,10431,"1.5.1,13.1.1,11.5.1,11.5.2,11.5.3"
85,HOT-TM,10473,"1.5.1,13.1.1,11.5.1,11.5.2,11.5.3"
86,HOT-TM,10869,"1.5.1,13.1.1,11.5.1,11.5.2,11.5.3"
87,HOT-TM,10967,"1.5.1,13.1.1,11.5.1,11.5.2,11.5.3"
88,HOT-TM,11666,
89,HOT-TM,12017,"1.5.1,13.1.1,11.5.1,11.5.2,11.5.3"
90,HOT-TM,12433,
91,HOT-TM,12506,"1.5.1,11.5.2,11.5.3,11.5.1,13.1.1"
92,HOT-TM,12867,"1.5.1,11.5.2,11.5.3,11.5.1,13.1.1"
93,HOT-TM,13112,1.4.1
94,HOT-TM,13461,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
95,HOT-TM,13593,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
96,HOT-TM,13642,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
97,HOT-TM,13672,"1.5.1,11.5.1,13.1.1"
