,platform,code,indicators
486,HOT-TM,13613,"1.5.1,11.5.1,13.1.1"
487,HOT-TM,13626,"1.5.1,11.5.1,13.1.1"
488,HOT-TM,13702,
489,HOT-TM,13745,
490,HOT-TM,13816,
491,HOT-TM,13831,
492,HOT-TM,13834,
493,HOT-TM,13947,
494,HOT-TM,14175,
495,HOT-TM,14218,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
496,HOT-TM,14357,16.1.4
497,HOT-TM,14403,
498,HOT-TM,14413,
499,HOT-TM,14445,"1.5.1,11.5.1,13.1.1"
500,HOT-TM,14519,
501,HOT-TM,14594,
502,HOT-TM,14786,
503,HOT-TM,14790,
504,HOT-TM,14993,
505,HOT-TM,14996,
506,HOT-TM,15262,"1.5.1,11.5.1,13.1.1"
507,HOT-TM,15519,
508,HOT-TM,15601,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1,6.3.2"
509,HOT-TM,15638,
510,HOT-TM,15757,
511,HOT-TM,15946,
512,HOT-TM,16064,
513,HOT-TM,16136,1.4.1
514,HOT-TM,16149,
515,HOT-TM,16180,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
516,HOT-TM,16268,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
517,HOT-TM,16498,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
518,HOT-TM,16940,
519,HOT-TM,17089,
520,HOT-TM,17259,
521,HOT-TM,17377,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
522,HOT-TM,17390,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
523,HOT-TM,17400,11.1.1
524,HOT-TM,17589,11.1.1
525,HOT-TM,18274,15.1.1
526,HOT-TM,18481,
527,HOT-TM,18375,"1.5.1,11.5.1,13.1.1"
528,HOT-TM,16348,
529,HOT-TM,18607,11.1.1
530,HOT-TM,14392,"1.5.1,11.5.1,13.1.1,6.3.2"
531,HOT-TM,16949,"1.5.1,11.5.1,13.1.1"
532,HOT-TM,18573,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
533,HOT-TM,10978,3.8.1
534,HOT-TM,11336,9.1.1
535,HOT-TM,13652,
536,HOT-TM,14947,"9.1.1,11.5.3"
537,HOT-TM,9135,
538,HOT-TM,9352,
539,HOT-TM,10549,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
540,HOT-TM,11687,
541,HOT-TM,12751,11.5.3
542,HOT-TM,14975,
543,HOT-TM,15357,
544,HOT-TM,8766,"1.5.1,11.5.1,13.1.1"
545,HOT-TM,8771,"1.5.1,11.5.1,13.1.1"
546,HOT-TM,9068,"1.5.1,11.5.1,13.1.1,3.8.1,1.4.1"
547,HOT-TM,9691,
548,HOT-TM,9780,"1.5.1,11.5.1,13.1.1"
549,HOT-TM,10571,"6.3.2,9.c.1,15.1.1"
550,HOT-TM,11084,
551,HOT-TM,11856,
552,HOT-TM,11879,
553,HOT-TM,11922,
554,HOT-TM,12087,"1.5.1,11.5.1,13.1.1"
555,HOT-TM,12315,
556,HOT-TM,13617,
557,HOT-TM,16826,
558,Ushahidi,56227a19-c88e-5343-ad8e-2a70f3e7f653,16.1.4
559,HOT-TM,15034,
560,Mapswipe,-OBzxV5N5CTy176ffgqj,
561,HOT-TM,18523,
562,HOT-TM,15306,
563,HOT-TM,17488,
564,HOT-TM,15351,"1.5.1,11.5.1,13.1.1"
565,HOT-TM,15352,"11.5.1,1.5.1,13.1.1"
566,HOT-TM,16481,"11.5.1,1.5.1,13.1.1"
567,HOT-TM,17158,"11.5.1,1.5.1,13.1.1,11.5.2,11.5.3"
568,HOT-TM,18244,"11.5.1,1.5.1,13.1.1"
569,HOT-TM,9326,
570,HOT-TM,9468,
571,HOT-TM,9912,
572,HOT-TM,10189,
573,HOT-TM,11894,
574,HOT-TM,12615,
575,HOT-TM,13556,
576,HOT-TM,13845,11.1.1
577,HOT-TM,13941,11.1.1
578,HOT-TM,13998,11.1.1
579,HOT-TM,14103,3.8.1
580,HOT-TM,14546,
581,HOT-TM,14689,3.8.1
582,HOT-TM,15060,"11.1.1,3.8.1"
583,HOT-TM,15524,
584,HOT-TM,15956,11.1.1
585,HOT-TM,16122,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1,6.3.2,6.6.1"
586,HOT-TM,16297,"3.8.1,11.1.1"
587,HOT-TM,16727,"1.5.1,11.5.1,13.1.1"
588,HOT-TM,17626,
589,HOT-TM,9922,3.8.1
590,HOT-TM,11306,3.8.1
591,HOT-TM,11353,"1.5.1,11.5.1,13.1.1"
592,HOT-TM,11655,"3.8.1,11.5.1,1.5.1,11.5.2,11.5.3,13.1.1"
593,HOT-TM,11749,
594,HOT-TM,12073,
595,HOT-TM,12101,"1.4.1,11.7.1,11.2.1"
596,HOT-TM,12167,
597,HOT-TM,12467,
598,HOT-TM,12514,
599,HOT-TM,12529,
600,HOT-TM,12888,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
601,HOT-TM,13803,6.3.2
602,HOT-TM,14210,3.8.1
603,HOT-TM,14266,
604,HOT-TM,14446,
605,HOT-TM,14902,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
606,HOT-TM,15400,
607,HOT-TM,15707,
608,HOT-TM,15731,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
609,Mapswipe,-OBR_lLNUfN6Y3IyvW27,15.3.1
610,HOT-TM,15814,
611,HOT-TM,15883,
612,HOT-TM,16062,
613,HOT-TM,16236,
614,HOT-TM,17052,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
615,HOT-TM,8762,
616,HOT-TM,8780,
617,HOT-TM,8791,
618,HOT-TM,8843,
619,HOT-TM,8961,
620,HOT-TM,9070,
621,HOT-TM,9191,
622,HOT-TM,9200,
623,HOT-TM,9201,
624,HOT-TM,9202,
625,HOT-TM,9203,
626,HOT-TM,9204,
627,HOT-TM,9262,
628,HOT-TM,9263,
629,HOT-TM,9264,
630,HOT-TM,9265,
631,HOT-TM,9266,
632,HOT-TM,9267,
633,HOT-TM,9268,
634,HOT-TM,9273,
635,HOT-TM,9306,
636,HOT-TM,9338,
637,HOT-TM,9341,"1.5.1,11.5.1,13.1.1"
638,HOT-TM,9349,
639,HOT-TM,9404,
640,HOT-TM,9407,"1.5.1,11.5.1,13.1.1"
641,HOT-TM,9409,"1.5.1,11.5.1,13.1.1"
642,HOT-TM,9456,"1.5.1,11.5.1,13.1.1"
643,HOT-TM,9472,"1.5.1,11.5.1,13.1.1"
644,HOT-TM,9502,
645,HOT-TM,9529,
646,HOT-TM,9530,
647,HOT-TM,9568,"1.5.1,11.5.1,13.1.1"
648,HOT-TM,9741,
649,HOT-TM,9745,
650,HOT-TM,9746,
651,HOT-TM,9747,
652,HOT-TM,9975,11.1.1
653,HOT-TM,10075,
654,HOT-TM,10077,
655,HOT-TM,10078,
656,HOT-TM,10079,
657,HOT-TM,10193,
658,HOT-TM,10195,
659,HOT-TM,10201,
660,HOT-TM,10202,
661,HOT-TM,10206,
662,HOT-TM,10207,
663,HOT-TM,10210,
664,HOT-TM,10211,
665,HOT-TM,10212,
666,HOT-TM,10365,
667,HOT-TM,10367,
668,HOT-TM,10371,
669,HOT-TM,10396,
670,HOT-TM,10456,"1.5.1,11.5.1,13.1.1"
671,HOT-TM,10752,"1.5.1,11.5.1,13.1.1"
672,HOT-TM,10837,
673,HOT-TM,11011,
674,HOT-TM,11040,11.1.1
675,HOT-TM,11151,"1.5.1,11.5.1,13.1.1"
676,HOT-TM,11157,"1.5.1,11.5.1,13.1.1"
677,HOT-TM,11188,"1.5.1,11.5.1,13.1.1"
678,HOT-TM,11199,"1.5.1,11.5.1,13.1.1"
679,HOT-TM,11201,"1.5.1,11.5.1,13.1.1"
680,HOT-TM,11202,"1.5.1,11.5.1,13.1.1"
681,HOT-TM,11357,
682,HOT-TM,11722,"1.5.1,11.5.1,3.8.1,13.1.1"
683,HOT-TM,11935,"1.5.1,11.5.1,13.1.1"
684,HOT-TM,12382,
685,HOT-TM,12472,
686,HOT-TM,12495,3.8.1
687,HOT-TM,12533,11.1.1
688,HOT-TM,12589,11.1.1
689,HOT-TM,12745,1.4.1
690,HOT-TM,12953,11.1.1
691,HOT-TM,13050,"1.5.1,11.5.1,13.1.1,11.5.3"
692,HOT-TM,13110,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
693,HOT-TM,13170,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
694,HOT-TM,13404,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
695,HOT-TM,14242,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
696,HOT-TM,14297,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
697,HOT-TM,14483,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
698,HOT-TM,14513,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
699,HOT-TM,14856,
700,HOT-TM,15170,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
701,HOT-TM,15253,
702,HOT-TM,15277,11.1.1
703,HOT-TM,15690,
704,HOT-TM,15813,
705,HOT-TM,15879,3.9.1
706,HOT-TM,16151,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
707,HOT-TM,16187,
708,HOT-TM,16194,
709,HOT-TM,17263,11.1.1
710,Mapswipe,-OIRKc74fnPI0sjcIe6a,11.1.1
711,Mapswipe,-MywleaDGEAyoRXRSiqb,
712,Mapswipe,-Nhg8fk6P9hBSGTRZxmk,
713,Mapswipe,-NjD5njYcAhgrX60XX3F,"1.5.1,11.5.1,13.1.1"
714,Mapswipe,-OC03TTFvWHdl-aKivNQ,3.8.1
715,Mapswipe,-NOigUUKbWDPoJQaErIv,
716,Mapswipe,-OEJrs09tcmfWeGirG-Q,"15.3.1,15.4.2"
717,Mapswipe,-OC3zl1Vu0iSwcxV5_Sk,
718,Mapswipe,-NV-HkUl14RwlJCc-g7b,3.8.1
719,Mapswipe,-MzLVmLMLkE-cT69Zz40,3.8.1
720,Mapswipe,-OCnfBj1V-DYsE75nUSV,3.8.1
721,Mapswipe,-NAtPyDmoriut7S6fC3I,3.8.1
722,Mapswipe,-NchJmHCZ94EqX_FDngl,3.8.1
723,Mapswipe,-NvCWkpQTr9nRUDBnnMM,"1.5.1,11.5.1,13.1.1"
724,Mapswipe,-O7iH0reW39KK8S5KBzC,
725,Mapswipe,-NxrK9F1N5d0NDUpnGXF,"1.5.1,11.5.1,13.1.1"
726,HOT-TM,9199,"1.5.1,11.5.1,13.1.1"
